Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
15060 Oroso,"42,8",7.572,"26,7","17,1","95,3","17,5","2,6",19.553,18.550,40.331,15.317,33.898,12.873,"2,1","25,2"
15061 Ortigueira,"54,7",5.564,"41,3",38,"95,3","8,4","2,1",17.822,15.750,30.494,14.526,26.418,12.585,"2,4","28,3"
15062 Outes,"53,3",6.087,"31,7","36,7","97,9","9,8","2,4",18.201,17.150,34.238,14.210,29.744,12.345,"2,2","25,7"
15063 Oza dos Ríos,,,,,,,,,,,,,,,
15064 Paderne,"51,6",2.426,"26,7","33,1","98,2","11,4","2,5",20.613,18.550,40.991,16.157,34.935,13.770,"2,1","25,2"
15065 Padrón,"47,2",8.356,"27,6","25,4","97,3","14,3","2,6",19.603,17.150,40.667,15.574,34.148,13.077,"2,2","25,3"
"15066 Pino, O","48,7",4.530,"26,1","28,5","98,6",13,"2,6",18.992,17.850,38.290,14.650,32.741,12.527,"2,2","24,3"
"15067 Pobra do Caramiñal, A","47,5",9.182,"26,5","24,6","97,7","13,3","2,6",19.238,17.850,39.033,15.144,33.134,12.855,2,"25,2"
15068 Ponteceso,52,5.391,"30,5","34,2","96,7",11,"2,4",18.084,16.450,34.093,14.196,29.677,12.358,"2,2","25,6"
15069 Pontedeume,"48,9",7.461,"29,9","28,1","96,7",13,"2,4",19.967,18.550,39.504,16.072,33.273,13.537,"2,3","26,6"
"15070 Pontes de García Rodríguez, As","49,1",9.868,"29,1",28,"96,5","12,7","2,4",23.641,21.350,47.344,19.906,38.477,16.178,"2,3","27,7"
15071 Porto do Son,"48,4",9.138,"30,8","27,8","97,6","13,3","2,5",18.043,16.450,36.272,14.135,30.944,12.059,"2,2","26,7"
15072 Rianxo,48,10.864,"23,7","27,1","98,8","13,5","2,7",18.175,17.150,37.497,13.693,32.634,11.918,"1,9","22,4"
15073 Ribeira,"45,2",26.879,"26,3",22,"94,8","15,4","2,6",18.610,16.450,39.008,14.622,32.718,12.264,"2,4",28
15074 Rois,"49,3",4.395,22,"29,3","98,7","13,4","2,9",18.720,17.150,39.945,13.998,34.455,12.074,"1,9","23,7"
15075 Sada,"47,1",16.773,"30,9","24,7","93,4","14,9","2,4",20.556,17.850,40.457,16.899,33.225,13.878,"2,8","31,5"
15076 San Sadurniño,"52,2",2.744,"30,9","34,5","98,1","11,2","2,4",19.033,17.850,35.596,15.127,30.852,13.111,"2,2","24,7"
15077 Santa Comba,"49,7",9.294,"25,7","31,5","95,8","12,8","2,7",18.814,17.150,38.565,14.233,33.583,12.395,"2,3","27,1"
15078 Santiago de Compostela,"45,6",97.343,"32,7",23,"93,8","14,9","2,4",24.209,21.350,48.914,20.431,39.198,16.373,"2,6","30,9"
15079 Santiso,56,1.472,"32,3","39,9","98,1","7,1","2,4",16.898,15.750,31.030,12.867,27.507,11.406,"2,1",25
15080 Sobrado,"55,5",1.751,"33,6","38,8","96,6","7,5","2,4",17.511,16.450,31.984,13.380,28.350,11.860,"2,2","24,3"
"15081 Somozas, As",51,1.061,"35,2","30,1",98,"10,6","2,2",18.831,17.150,33.439,15.073,28.852,13.005,2,25
15082 Teo,"44,8",18.819,"25,1","21,2","97,2","16,1","2,6",22.701,19.950,48.965,18.485,39.805,15.027,"2,3","28,9"
15083 Toques,55,1.075,"30,5","37,1","99,4",7,"2,5",18.439,15.050,36.737,14.792,30.666,12.347,2,"23,5"
15084 Tordoia,"55,2",3.193,"24,8","40,2","99,1","8,6","2,6",19.349,17.850,38.558,14.592,33.903,12.831,"1,9","23,5"
15085 Touro,"53,1",3.367,"30,3","34,8","98,9",10,"2,5",18.754,17.850,36.561,14.493,31.828,12.617,"2,2","24,3"
15086 Trazo,"51,9",3.025,"23,3",34,"98,3","11,2","2,8",19.951,19.250,41.678,14.917,36.164,12.943,2,"23,6"
15087 Valdoviño,"51,2",6.893,31,"31,8","98,2","11,7","2,3",20.079,18.550,37.936,16.526,31.943,13.915,"2,3","27,1"
15088 Val do Dubra,"51,7",3.753,"28,3",35,"97,3","11,5","2,6",19.092,17.850,37.291,14.495,32.564,12.658,2,24
15089 Vedra,"48,3",5.019,"20,3","27,8","98,6","13,5","2,9",20.919,19.250,46.415,16.032,39.012,13.475,"2,1","24,8"
15090 Vilasantar,"55,4",1.236,"36,8","37,5","97,7","8,1","2,3",18.532,17.150,33.318,14.531,29.212,12.740,"2,1","24,2"
15091 Vilarmaior,"52,4",1.234,"31,8","32,9","98,2","10,2","2,4",20.742,18.550,40.993,16.905,34.597,14.267,"2,1","26,5"
15092 Vimianzo,"51,5",6.787,"28,3","34,3","97,5","10,7","2,6",18.075,16.450,35.961,13.780,31.230,11.967,"2,2","26,1"
15093 Zas,"53,4",4.307,"25,2","35,1","98,2","9,2","2,7",18.433,17.150,37.951,13.916,33.159,12.159,2,"24,3"
15901 Cariño,"53,2",3.696,"36,2","35,7","95,3","9,8","2,1",16.145,15.050,27.905,13.060,24.590,11.509,"2,2","26,3"
15902 Oza-Cesuras,"52,2",5.199,"35,2","33,6","97,8","10,4","2,3",19.701,17.850,36.953,15.924,31.589,13.612,"2,2","25,4"
16001 Abia de la Obispalía,"57,9",61,"67,6","36,1","96,7","1,6","1,6",.,.,28.022,16.090,24.146,13.865,.,.
"16002 Acebrón, El","51,3",226,"31,9","31,4","85,4","11,1","2,4",15.750,13.650,30.038,12.494,26.257,10.921,"2,4",31
16003 Alarcón,51,172,40,"28,5","87,2","9,9","2,1",16.733,16.450,29.034,13.321,25.797,11.836,"2,8","26,8"
16004 Albaladejo del Cuende,"61,2",228,"46,2","49,1","94,7","5,7","1,9",17.169,15.050,27.520,14.363,24.194,12.627,"2,6","31,1"
16005 Albalate de las Nogueras,"54,1",268,"49,2","31,7","93,7","7,1",2,17.614,15.750,29.397,14.364,25.955,12.682,"2,5","27,6"
16006 Albendea,"56,2",126,50,"41,3","98,4","7,1","1,9",18.054,16.450,27.287,14.553,24.356,12.990,"2,7","26,8"
"16007 Alberca de Záncara, La","46,2",1.524,"25,9","24,1","81,2","13,9","2,6",15.117,13.650,30.075,11.310,26.845,10.095,"2,3","30,7"
16008 Alcalá de la Vega,"58,9",83,50,"48,2","91,6","2,4","1,8",.,.,25.518,13.863,22.624,12.291,.,.
16009 Alcantud,62,56,"57,1","48,2",100,"3,6","1,6",.,.,24.531,14.796,21.597,13.026,.,.
16010 Alcázar del Rey,"53,5",160,"46,8","30,6","87,5","5,6",2,18.202,13.650,32.684,15.928,27.284,13.296,"3,2","35,2"
16011 Alcohujate,"55,1",19,"81,3","21,1","89,5","5,3","1,2",.,.,24.531,14.796,21.597,13.026,.,.
16012 Alconchel de la Estrella,"52,7",82,"36,1","30,5","91,5","4,9","2,3",.,.,26.050,13.990,22.910,12.303,.,.
16013 Algarra,"54,2",28,75,"32,1","82,1","10,7","1,8",.,.,25.518,13.863,22.624,12.291,.,.
16014 Aliaguilla,"51,7",607,"36,9","32,5","96,1","10,5","2,3",13.278,12.250,23.260,10.077,21.298,9.227,"2,3","27,3"
"16015 Almarcha, La","53,6",435,33,"32,4","88,7","7,4","2,2",15.992,15.050,28.173,12.456,25.218,11.150,"2,4","28,3"
16016 Almendros,"56,2",249,"41,2",39,92,"5,6","2,1",22.319,17.850,39.369,18.394,32.622,15.241,"3,1","35,7"
16017 Almodóvar del Pinar,"49,7",394,"39,4","27,9","95,2","10,4","2,2",16.490,15.050,27.804,12.625,24.940,11.325,"2,3","28,2"
16018 Almonacid del Marquesado,"51,3",437,"28,4","31,4","92,2","9,2","2,5",18.432,17.500,35.102,14.137,30.618,12.331,"2,9","28,3"
16019 Altarejos,"55,3",212,50,"40,1","93,9","6,1",2,16.636,14.350,28.036,14.219,24.371,12.360,"2,8","38,9"
16020 Arandilla del Arroyo,"68,2",11,90,"63,6",100,0,"1,1",.,.,24.531,14.796,21.597,13.026,.,.
16022 Arcos de la Sierra,"59,6",77,"54,6","45,5","97,4","7,8","1,8",.,.,28.022,16.090,24.146,13.865,.,.
16023 Chillarón de Cuenca,"41,8",808,"38,4","15,4","91,2","18,7","2,2",19.466,16.450,35.798,16.190,29.929,13.536,"2,7",32
16024 Arguisuelas,52,134,"54,3","30,6","97,8","11,2","1,9",16.143,14.350,26.190,13.805,22.996,12.122,"2,4","28,3"
16025 Arrancacepas,"64,2",16,50,"62,5",100,0,2,.,.,24.531,14.796,21.597,13.026,.,.
16026 Atalaya del Cañavate,"53,7",105,"44,6","29,5","85,7","4,8","1,9",15.036,14.350,23.417,12.645,20.698,11.177,"2,4","27,5"
16027 Barajas de Melo,47,992,"39,1","22,7","83,1","12,2","2,2",17.528,15.750,31.518,14.191,27.138,12.219,"2,6",30
16029 Barchín del Hoyo,"58,2",95,"60,7",39,"97,9","1,1","1,6",.,.,28.022,16.090,24.146,13.865,.,.
16030 Bascuñana de San Pedro,"53,1",26,"68,8","26,9",100,"7,7","1,6",.,.,28.022,16.090,24.146,13.865,.,.
16031 Beamud,"58,1",55,"45,2",40,"94,6","7,3","1,8",.,.,28.022,16.090,24.146,13.865,.,.
16032 Belinchón,"47,8",388,"33,1","27,1","90,7","14,7","2,5",18.723,17.150,37.060,14.361,32.140,12.454,"2,2","24,2"
16033 Belmonte,"50,3",1.745,"33,2","28,6","95,1","10,3","2,3",16.536,15.050,29.955,12.981,26.266,11.383,"2,3","28,8"
16034 Belmontejo,"60,5",135,"47,3","45,9","99,3","1,5","1,8",18.104,17.150,28.513,15.630,25.068,13.741,"2,3",27
16035 Beteta,53,239,"53,6","29,3","93,7","7,1","1,9",19.844,19.250,32.672,17.022,28.109,14.645,"2,4","29,6"
16036 Boniches,"48,4",146,"49,3","30,1",89,"19,2","2,1",15.034,13.650,23.986,11.389,21.533,10.224,"1,8",28
16038 Buciegas,"54,3",39,"42,1","25,6",59,"5,1",2,.,.,24.531,14.796,21.597,13.026,.,.
16039 Buenache de Alarcón,"52,3",457,"39,2","31,5","80,3","8,3","2,2",15.117,13.650,25.376,11.959,22.559,10.631,"2,1",27
16040 Buenache de la Sierra,"47,7",113,"42,3","21,2","97,4","11,5","2,2",19.613,19.600,35.444,16.140,30.662,13.962,"2,3","29,4"
16041 Buendía,"52,6",419,"41,3","34,4","91,2",10,"2,1",16.145,15.050,27.511,12.970,24.737,11.663,"2,3","26,7"
16042 Campillo de Altobuey,"48,7",1.276,"34,6","26,7","88,8","12,5","2,3",15.505,13.650,28.062,12.125,24.795,10.713,"2,4","27,9"
16043 Campillos-Paravientos,"53,7",107,"47,5","34,6","91,6","8,4","1,8",16.015,15.050,24.581,13.450,21.869,11.966,"2,1","27,1"
16044 Campillos-Sierra,"61,1",29,"71,4","41,4",100,0,"1,4",.,.,25.518,13.863,22.624,12.291,.,.
16045 Canalejas del Arroyo,"60,9",172,"52,1","41,3",93,"1,2","1,8",13.869,12.950,21.492,11.770,19.459,10.656,"2,1","30,1"
16046 Cañada del Hoyo,"54,2",244,40,"38,1","93,9","10,3","2,2",17.193,15.050,31.349,14.062,27.506,12.338,"2,8","31,4"
16047 Cañada Juncosa,"55,2",220,"41,8","34,6","87,3",5,"2,1",16.482,13.650,28.447,13.318,25.608,11.989,"2,5","27,3"
16048 Cañamares,"49,7",453,"32,1","28,5","97,4","11,9","2,4",18.681,16.450,35.502,14.488,30.349,12.385,"2,5","29,3"
"16049 Cañavate, El","59,5",139,"46,7","39,6","96,4","2,2","1,9",15.817,12.950,23.888,12.810,21.067,11.297,"2,7","32,5"
16050 Cañaveras,"52,8",241,"46,2","33,2","91,3","9,1","2,1",16.155,14.350,27.483,13.104,24.333,11.602,"2,8","34,2"
16051 Cañaveruelas,"58,1",117,37,"37,6","89,7","2,6","2,2",17.397,13.650,27.354,12.625,23.487,10.840,2,"34,7"
16052 Cañete,"45,7",797,"37,9","22,7","82,1","14,9","2,3",16.206,15.050,30.501,12.956,26.834,11.398,"2,4","29,5"
16053 Cañizares,"51,4",443,"42,1","29,8","97,1","7,7","2,1",20.768,19.950,37.214,17.512,31.871,14.998,"2,3","25,4"
16055 Carboneras de Guadazaón,"50,1",775,"31,9","30,7","92,4","11,1","2,3",16.745,16.450,30.192,12.822,26.343,11.187,"2,1",25
16056 Cardenete,"54,6",479,"39,9","37,8","97,5","7,3",2,15.483,13.650,24.689,12.318,22.406,11.179,"2,2","27,2"
16057 Carrascosa,"59,6",65,"52,8","38,5",100,"4,6","1,8",.,.,30.519,17.169,26.078,14.671,.,.
16058 Carrascosa de Haro,"58,7",96,"35,4","43,8","91,7","3,1",2,.,.,.,.,.,.,.,.
16060 Casas de Benítez,"51,3",799,"34,6","31,5","92,5","10,3","2,3",14.600,13.650,26.495,11.308,23.852,10.180,"2,4","29,6"
16061 Casas de Fernando Alonso,"49,1",1.110,"28,4","29,8","83,2","10,9","2,4",14.638,12.950,28.150,11.230,24.959,9.957,"2,2","30,8"
16062 Casas de Garcimolina,"49,9",34,"47,4","23,5","94,1","8,8","1,8",.,.,25.518,13.863,22.624,12.291,.,.
16063 Casas de Guijarro,"56,8",112,"45,3","37,5","94,6","4,5","2,1",15.808,13.650,25.838,12.090,23.368,10.933,"2,8",31
16064 Casas de Haro,"48,9",846,"32,4","27,3","85,1","12,3","2,4",15.011,13.650,27.925,11.644,24.719,10.307,"2,3","28,2"
16065 Casas de los Pinos,"52,1",421,"34,7","34,7","88,4","11,4","2,4",16.552,15.050,32.223,13.196,28.062,11.492,"2,9","30,3"
16066 Casasimarro,"44,1",3.135,"29,5","21,5","83,3","17,3","2,5",16.370,13.650,31.631,12.282,27.747,10.774,"2,4","26,9"
16067 Castejón,"56,8",140,"47,8","40,7","85,7","2,9","2,1",17.254,14.350,29.469,13.982,25.613,12.152,"2,8",32
16068 Castillejo de Iniesta,"51,1",123,"42,6","25,2","87,8","6,5","2,3",17.537,16.450,32.552,14.291,28.125,12.347,"2,7","30,6"
16070 Castillejo-Sierra,"55,2",35,"29,4","31,4",100,"2,9","2,1",.,.,28.022,16.090,24.146,13.865,.,.
16071 Castillo-Albaráñez,"50,4",23,"42,9","39,1",100,13,"3,3",.,.,24.531,14.796,21.597,13.026,.,.
16072 Castillo de Garcimuñoz,58,134,"46,4",41,"99,3","5,2","1,9",14.829,13.650,23.376,11.865,21.250,10.786,"2,1","25,8"
16073 Cervera del Llano,"52,9",210,"35,1","30,5",91,10,"2,2",15.998,15.050,28.143,12.448,25.059,11.084,2,"24,7"
"16074 Cierva, La","63,8",38,"33,3","55,3","94,7",0,"1,8",.,.,28.022,16.090,24.146,13.865,.,.
16078 Cuenca,"43,8",52.898,"32,9","19,7","89,8","16,7","2,4",20.866,18.550,41.554,17.087,34.584,14.221,"2,7",30
16079 Cueva del Hierro,"56,6",29,"66,7","27,6","86,2",0,"1,6",.,.,30.519,17.169,26.078,14.671,.,.
16081 Chumillas,"46,1",66,"33,3","21,2","89,4","21,2","2,8",.,.,28.022,16.090,24.146,13.865,.,.
16082 Enguídanos,"50,5",315,"47,6","30,8","90,5","9,8","1,9",13.960,11.550,21.845,11.382,20.048,10.446,"2,3","29,3"
16083 Fresneda de Altarejos,"53,1",40,"58,3","22,5",100,"2,5","1,7",.,.,28.022,16.090,24.146,13.865,.,.
16084 Fresneda de la Sierra,"64,7",40,70,45,100,0,"1,3",.,.,28.022,16.090,24.146,13.865,.,.
"16085 Frontera, La","51,5",153,55,"31,4","88,9","9,2","1,9",14.370,13.650,21.469,11.025,18.954,9.733,"2,8","27,1"
16086 Fuente de Pedro Naharro,"44,9",1.238,28,"20,4","81,4","14,5","2,5",19.648,16.100,39.661,15.662,33.657,13.291,"2,2","25,8"
16087 Fuentelespino de Haro,"55,2",225,"42,3","41,3","88,9","9,3","2,2",17.575,15.750,30.539,13.369,27.548,12.060,"2,6","25,3"
16088 Fuentelespino de Moya,"55,9",107,"36,5","42,1","92,5","6,5","2,1",16.048,14.350,27.455,13.592,24.207,11.984,"1,9","23,4"
16089 Fuentes,"47,6",464,"30,9","26,1","95,3","12,9","2,4",18.757,17.850,35.621,14.881,30.809,12.870,"2,4","27,2"
16091 Fuertescusa,"60,6",69,"60,5",42,"98,6","2,9","1,6",.,.,30.519,17.169,26.078,14.671,.,.
16092 Gabaldón,"51,1",147,"43,7","30,6","93,2","8,2","2,1",15.867,15.750,29.162,13.272,25.556,11.631,2,"24,9"
16093 Garaballa,57,66,"47,2","45,5","92,4",0,"1,8",.,.,25.518,13.863,22.624,12.291,.,.
16094 Gascueña,"53,1",142,"42,7","34,5","85,9","9,2","2,1",14.473,12.950,24.382,11.733,21.878,10.528,"2,2","26,9"
16095 Graja de Campalbo,"51,6",89,"46,7","32,6","96,6",9,2,.,.,25.518,13.863,22.624,12.291,.,.
16096 Graja de Iniesta,"43,7",362,"25,5",18,"86,5","14,6","2,6",15.683,15.050,30.997,11.982,26.931,10.410,"2,3","29,3"
16097 Henarejos,"62,7",134,"42,5","48,5","98,5",3,"1,8",16.439,15.400,24.949,13.420,22.267,11.977,2,"25,6"
"16098 Herrumblar, El","45,1",746,"30,2","24,8","78,6","15,2","2,6",13.386,11.550,25.253,9.723,23.007,8.859,"2,4","26,8"
"16099 Hinojosa, La","55,7",191,"36,4","37,2","97,4","6,8","2,2",17.398,15.750,30.850,14.037,26.994,12.283,"2,5",30
"16100 Hinojosos, Los","51,2",733,"38,5","32,7",93,"11,2","2,3",13.634,11.550,23.168,10.219,21.251,9.374,2,"26,3"
"16101 Hito, El","58,5",146,"50,7","43,2","99,3","5,5",2,17.092,13.650,27.986,13.993,24.716,12.358,"2,7","28,5"
16102 Honrubia,"46,6",1.568,"30,6","23,2","82,5",13,"2,5",15.773,13.650,30.271,12.050,26.670,10.616,"2,3",29
16103 Hontanaya,60,266,"46,5","46,2","91,7",3,"2,1",18.355,15.750,32.076,15.493,27.951,13.501,"2,7","28,7"
16104 Hontecillas,"58,1",56,"48,3","48,2","94,6","7,1","1,9",.,.,27.812,13.586,24.155,11.799,.,.
16106 Horcajo de Santiago,"44,8",3.707,"32,3","22,2","87,7","15,5","2,3",16.236,15.050,29.761,12.663,26.225,11.158,"2,2","26,1"
16107 Huélamo,"61,4",81,"48,8","53,1",100,"4,9",2,.,.,30.519,17.169,26.078,14.671,.,.
16108 Huelves,"49,4",90,48,30,"88,9","12,2","1,8",.,.,26.050,13.990,22.910,12.303,.,.
16109 Huérguina,"58,8",48,"42,9","52,1","97,9","2,1","2,3",.,.,25.518,13.863,22.624,12.291,.,.
16110 Huerta de la Obispalía,"50,8",128,"42,3","26,6","80,5","5,5","2,5",27.922,19.950,64.414,23.465,50.401,18.360,"4,2","44,2"
16111 Huerta del Marquesado,"47,6",177,"40,7","25,4","93,2","10,7","2,2",18.097,17.150,32.581,14.809,27.939,12.700,"2,7","26,5"
16112 Huete,"48,1",1.744,"38,3","26,6","94,1","12,9","2,3",15.842,14.350,29.151,12.481,25.790,11.042,"2,5","29,1"
16113 Iniesta,"42,6",4.405,"24,3","18,4","81,6","16,8","2,6",15.744,13.650,32.206,12.121,27.472,10.339,"2,4",30
16115 Laguna del Marquesado,"49,8",58,50,"24,1","89,7","13,8","1,8",.,.,30.519,17.169,26.078,14.671,.,.
16116 Lagunaseca,"59,7",51,"63,6",51,100,0,"1,6",.,.,30.519,17.169,26.078,14.671,.,.
16117 Landete,"48,5",1.245,"38,7",28,86,"12,5","2,2",16.224,13.650,29.562,13.213,25.149,11.240,"2,5","30,5"
16118 Ledaña,49,1.616,"31,6","30,1","90,8","13,2","2,4",14.099,12.950,25.236,10.639,22.732,9.583,"2,1","28,6"
16119 Leganiel,"48,2",223,"42,7","27,4","93,3","12,1","2,2",15.670,15.050,27.115,12.524,23.771,10.980,"2,5","27,5"
"16121 Majadas, Las","56,1",224,"51,7","33,9","99,1","2,7","1,9",18.261,16.450,29.785,15.690,26.062,13.729,"2,4","26,2"
16122 Mariana,46,322,46,"25,2","91,3","16,5","2,3",18.230,17.150,33.304,14.258,28.899,12.372,"2,5","28,3"
16123 Masegosa,"58,7",63,"51,4","36,5",100,"1,6","1,8",.,.,30.519,17.169,26.078,14.671,.,.
"16124 Mesas, Las","47,5",2.264,"29,9","25,8","87,8","12,8","2,4",14.349,12.950,26.383,10.759,23.718,9.672,"2,1","25,5"
16125 Minglanilla,"42,7",2.300,"32,9","18,9","83,5","17,5","2,5",13.414,12.250,25.012,10.000,22.243,8.893,"2,2","28,1"
16126 Mira,"47,4",922,"45,6",26,"90,1","14,4","2,1",16.851,12.950,29.328,13.953,24.688,11.746,"2,7","37,1"
16128 Monreal del Llano,58,46,50,"39,1","97,8","2,2","2,1",.,.,.,.,.,.,.,.
16129 Montalbanejo,61,89,"53,9","48,3","85,4","1,1","1,7",.,.,26.050,13.990,22.910,12.303,.,.
16130 Montalbo,"47,1",712,"39,1","23,9","85,7","14,2","2,2",16.231,15.050,29.153,12.901,25.491,11.280,2,"26,8"
16131 Monteagudo de las Salinas,"56,5",138,"37,9","34,8",100,"2,2","2,4",22.058,17.850,44.108,18.538,36.524,15.350,"2,6","29,8"
16132 Mota de Altarejos,"63,6",29,50,"37,9","96,6",0,"1,6",.,.,26.050,13.990,22.910,12.303,.,.
16133 Mota del Cuervo,"42,9",6.025,"26,5","19,6","86,8","18,3","2,6",16.059,14.350,32.059,12.350,27.603,10.634,"2,3","27,5"
16134 Motilla del Palancar,"41,6",6.130,"27,3","16,4","86,6","17,9","2,6",19.443,16.450,40.753,15.455,33.838,12.833,"2,5","28,9"
16135 Moya,"58,1",170,"47,2","41,8","91,2","6,5","1,9",18.123,16.450,29.600,15.513,25.714,13.477,"2,5","33,1"
16137 Narboneta,56,53,"56,3","45,3","88,7","3,8","1,7",.,.,25.518,13.863,22.624,12.291,.,.
16139 Olivares de Júcar,"57,7",317,44,"43,2","89,9","5,4",2,14.410,12.250,23.816,11.757,21.575,10.651,"2,6","26,9"
16140 Olmeda de la Cuesta,"56,7",22,"61,5","27,3","95,5","4,6","1,7",.,.,24.531,14.796,21.597,13.026,.,.
16141 Olmeda del Rey,"56,9",130,"49,3","36,2","91,5","3,9","1,9",15.317,12.250,24.927,13.048,22.140,11.589,"2,5","33,9"
16142 Olmedilla de Alarcón,54,134,"48,5","36,6","87,3","9,7",2,17.192,14.350,28.588,14.402,25.062,12.625,"3,1","31,5"
16143 Olmedilla de Eliz,"51,5",22,"46,2","36,4","95,5","4,6","1,7",.,.,24.531,14.796,21.597,13.026,.,.
16145 Osa de la Vega,"54,4",443,"49,4","34,8","95,3","8,4","1,8",13.609,12.950,19.790,11.211,18.032,10.215,2,26
16146 Pajarón,"64,1",78,"47,6","51,3",100,0,"1,9",.,.,25.518,13.863,22.624,12.291,.,.
16147 Pajaroncillo,"48,9",59,"55,2","32,2","81,4","11,9",2,.,.,25.518,13.863,22.624,12.291,.,.
16148 Palomares del Campo,"54,7",558,"38,3","35,5","97,1","6,5","2,1",16.805,14.350,29.121,13.723,25.592,12.060,"2,4","29,6"
16149 Palomera,"51,7",189,"42,7","27,5","98,4","10,1",2,24.238,22.750,41.613,21.137,34.504,17.526,"2,5","26,2"
16150 Paracuellos,54,99,48,"32,3",99,3,2,.,.,28.022,16.090,24.146,13.865,.,.
16151 Paredes,"52,8",75,30,"30,7","93,3","9,3","2,5",.,.,26.050,13.990,22.910,12.303,.,.
"16152 Parra de las Vegas, La","60,2",34,"63,6","41,2",100,"2,9","1,6",.,.,28.022,16.090,24.146,13.865,.,.
"16153 Pedernoso, El",47,1.126,32,"25,8","88,6","13,1","2,4",16.732,14.350,31.370,12.917,27.510,11.328,"2,1","26,7"
"16154 Pedroñeras, Las","44,1",6.539,"26,7",20,"82,3","15,9","2,7",15.653,14.350,32.300,11.738,28.152,10.231,"2,2","27,2"
"16155 Peral, El",47,665,"29,7","25,4","81,7","11,9","2,6",14.935,13.650,29.855,11.299,26.350,9.972,"2,6","31,5"
"16156 Peraleja, La","55,1",88,50,"34,1","87,5","5,7",2,.,.,24.531,14.796,21.597,13.026,.,.
"16157 Pesquera, La","51,2",226,"42,5","35,8","97,4","12,4",2,13.634,12.250,22.168,10.935,19.973,9.852,"2,1","28,4"
"16158 Picazo, El","45,5",693,"37,6","23,5","85,1","15,2","2,3",15.642,13.650,28.092,12.087,24.758,10.652,"2,3","28,9"
16159 Pinarejo,"60,9",193,"46,7","49,7","92,8","5,7","1,8",15.232,12.950,22.600,12.207,20.632,11.144,"2,5","26,4"
16160 Pineda de Gigüela,"57,5",60,65,"41,7",95,5,"1,5",.,.,24.531,14.796,21.597,13.026,.,.
16161 Piqueras del Castillo,59,48,"61,3","39,6","85,4","2,1","1,6",.,.,28.022,16.090,24.146,13.865,.,.
16162 Portalrubio de Guadamejud,"60,1",36,50,"47,2","88,9","5,6","1,8",.,.,24.531,14.796,21.597,13.026,.,.
16163 Portilla,"64,8",56,"58,3","58,9",100,"3,6","1,6",.,.,28.022,16.090,24.146,13.865,.,.
16165 Poyatos,"53,4",80,"51,2","37,5","97,5",5,"1,9",.,.,30.519,17.169,26.078,14.671,.,.
16166 Pozoamargo,"55,1",239,"36,5","35,6","92,5","6,3","2,2",17.233,15.750,32.723,14.650,27.761,12.428,"2,2","26,1"
16167 Pozorrubio de Santiago,"54,3",323,"41,8","33,8",96,"7,7","2,1",19.914,15.750,37.022,17.476,31.552,14.894,"2,2","27,7"
"16169 Pozuelo, El","60,3",44,"77,1","38,6",100,"4,6","1,3",.,.,30.519,17.169,26.078,14.671,.,.
16170 Priego,"47,7",898,"40,5","26,6","79,6","12,6","2,2",15.690,13.650,28.549,12.860,25.006,11.264,"2,9","33,7"
"16171 Provencio, El","46,7",2.354,32,"25,5","81,1",16,"2,5",15.003,12.950,29.171,11.472,25.688,10.102,"2,5","30,4"
16172 Puebla de Almenara,"57,9",331,"37,7","43,8","89,1",6,"2,1",16.295,13.650,28.316,13.758,24.563,11.935,"2,6","30,5"
"16173 Valle de Altomira, El","56,4",210,"49,6","37,1",91,"6,2","1,9",17.190,15.050,28.176,14.766,24.663,12.925,"2,6","31,2"
16174 Puebla del Salvador,51,202,"45,4","31,7","91,6","10,4","2,1",13.875,12.250,23.646,11.149,21.406,10.093,"2,4","30,6"
16175 Quintanar del Rey,"41,1",7.633,"22,7","16,6","80,2","18,8","2,8",14.473,12.950,29.957,10.710,26.351,9.421,"2,2","27,4"
16176 Rada de Haro,"47,7",50,"43,5",28,58,16,"2,2",.,.,.,.,.,.,.,.
16177 Reíllo,"52,3",110,"52,6","31,8","80,9","6,4","1,9",13.714,10.850,22.744,11.685,20.689,10.629,3,"31,8"
16181 Rozalén del Monte,"57,5",59,"51,5","47,5","93,2","6,8","1,8",.,.,26.050,13.990,22.910,12.303,.,.
16185 Saceda-Trasierra,"67,4",42,75,"61,9","90,5",0,"1,3",.,.,24.531,14.796,21.597,13.026,.,.
16186 Saelices,"53,5",471,"43,7","32,3","91,5",7,2,17.447,16.450,28.310,14.217,25.202,12.656,2,"22,8"
16187 Salinas del Manzano,"55,8",76,"55,8","30,3","84,2","6,6","1,8",.,.,25.518,13.863,22.624,12.291,.,.
16188 Salmeroncillos,48,103,50,"26,2","86,4","17,5",2,15.743,15.050,24.847,12.300,21.462,10.625,"2,9","32,7"
16189 Salvacañete,"51,7",287,"39,1","34,5","94,4","9,8","2,2",17.510,16.450,31.924,14.285,27.798,12.438,"2,5",31
16190 San Clemente,"43,9",6.705,"25,9","20,9","85,5","16,9","2,7",16.472,15.050,34.453,12.479,29.631,10.732,"2,3","29,3"
